"AC";"K";"Laundry";"Total";"Type";"Date"
5678;4149;2191;19181,3333333333;"Total Series";"2007-08-25"
5658;1541;3645;21915,1;"Total Series";"2007-08-26"
6344;2305;1229;20195,5;"Total Series";"2007-08-27"
5483;1038;2468;16616,7333333333;"Total Series";"2007-08-28"
4932;957;562;12466,5333333333;"Total Series";"2007-08-29"
4221;3822;2580;20040,9666666667;"Total Series";"2007-08-30"
8738;1200;666;21330,3666666667;"Total Series";"2007-08-31"
9733;2497;569;28358,1;"Total Series";"2007-09-01"
8806;3613;1617;27707,8;"Total Series";"2007-09-02"
5323;621;2515;17315,3666666667;"Total Series";"2007-09-03"
9821;2928;3501;26415,7333333333;"Total Series";"2007-09-04"
6705;0;4144;20609,5333333333;"Total Series";"2007-09-05"
3461;0;3888;15024,5666666667;"Total Series";"2007-09-06"
9388;3632;551;22274,9333333333;"Total Series";"2007-09-07"
9164;3339;1801;24495,8666666667;"Total Series";"2007-09-08"
9233;2184;4438;27991,7;"Total Series";"2007-09-09"
5613;935;595;18622,9333333333;"Total Series";"2007-09-10"
5792;943;550;16392,8666666667;"Total Series";"2007-09-11"
7755;0;3217;21462,7333333333;"Total Series";"2007-09-12"
3853;1175;2523;19106,3666666667;"Total Series";"2007-09-13"
5804;901;676;18924,5;"Total Series";"2007-09-14"
6464;0;1449;18255,2;"Total Series";"2007-09-15"
9310;3118;3064;27537,0666666667;"Total Series";"2007-09-16"
6279;6651;926;24353,1;"Total Series";"2007-09-17"
5425;1888;2029;19458,6666666667;"Total Series";"2007-09-18"
7937;0;2743;21644,7333333333;"Total Series";"2007-09-19"
9996;1056;489;20925,5333333333;"Total Series";"2007-09-20"
6316;3130;2745;20646,3333333333;"Total Series";"2007-09-21"
7688;944;1311;19602,8666666667;"Total Series";"2007-09-22"
7382;2831;1929;23632,8333333333;"Total Series";"2007-09-23"
7955;929;3935;22575,5;"Total Series";"2007-09-24"
9820;916;2253;29405,7;"Total Series";"2007-09-25"
5661;1058;9415;30371,0666666667;"Total Series";"2007-09-26"
7324;1066;643;23210;"Total Series";"2007-09-27"
9952;996;3722;28008,3;"Total Series";"2007-09-28"
8190;4085;7457;38275,3666666667;"Total Series";"2007-09-29"
10225;1405;582;25271,5;"Total Series";"2007-09-30"
5960;1507;6622;28682,0333333333;"Total Series";"2007-10-01"
12815;508;8022;36647,7333333333;"Total Series";"2007-10-02"
3692;979;5024;21340,9;"Total Series";"2007-10-03"
9710;2400;444;25307,6333333333;"Total Series";"2007-10-04"
9425;0;351;23234,8666666667;"Total Series";"2007-10-05"
9666;4840;347;29270,6666666667;"Total Series";"2007-10-06"
10886;2498;8255;35101,9;"Total Series";"2007-10-07"
5082;0;420;18254,0333333333;"Total Series";"2007-10-08"
9290;2034;2147;28130,9666666667;"Total Series";"2007-10-09"
3345;1863;2117;19449,5333333333;"Total Series";"2007-10-10"
7806;2630;414;28874,1;"Total Series";"2007-10-11"
11659;1020;5028;31908,4;"Total Series";"2007-10-12"
8463;969;3799;32112,1333333333;"Total Series";"2007-10-13"
7126;2930;7494;34354,2;"Total Series";"2007-10-14"
7654;1061;339;21105,5;"Total Series";"2007-10-15"
9876;0;7871;32740,7;"Total Series";"2007-10-16"
8968;1065;453;26282,1666666667;"Total Series";"2007-10-17"
9864;1162;317;25308,8333333333;"Total Series";"2007-10-18"
11648;1299;3124;34760,8;"Total Series";"2007-10-19"
13225;2363;296;27670,7666666667;"Total Series";"2007-10-20"
7313;3712;4357;32365,6666666667;"Total Series";"2007-10-21"
13027;0;299;27548,2666666667;"Total Series";"2007-10-22"
10680;1067;5186;32577,4666666667;"Total Series";"2007-10-23"
9115;4459;364;31093,9333333333;"Total Series";"2007-10-24"
7385;1478;2433;30898,6333333333;"Total Series";"2007-10-25"
5766;0;348;23959,4666666667;"Total Series";"2007-10-26"
8949;1374;4856;29761,4666666667;"Total Series";"2007-10-27"
1765;0;283;8535,96666666667;"Total Series";"2007-10-28"
2749;0;269;9090,46666666667;"Total Series";"2007-10-29"
4256;0;1935;13516,8;"Total Series";"2007-10-30"
8915;0;4700;21386,8333333333;"Total Series";"2007-10-31"
1991;0;293;8270,26666666667;"Total Series";"2007-11-01"
12245;1346;2115;24060,0333333333;"Total Series";"2007-11-02"
1936;0;282;8209,16666666667;"Total Series";"2007-11-03"
7068;0;4387;24761,4333333333;"Total Series";"2007-11-04"
6583;1265;397;25009,8666666667;"Total Series";"2007-11-05"
10690;1105;5515;34706,3;"Total Series";"2007-11-06"
6374;5042;301;30745,9666666667;"Total Series";"2007-11-07"
6500;1715;314;25017,6666666667;"Total Series";"2007-11-08"
15375;0;4573;36187,1;"Total Series";"2007-11-09"
13767;3697;304;43526,6666666667;"Total Series";"2007-11-10"
6024;3445;320;31452,0666666667;"Total Series";"2007-11-11"
13281;1018;4165;35935,7666666667;"Total Series";"2007-11-12"
11076;978;4933;36906,6333333333;"Total Series";"2007-11-13"
16345;1055;295;34133,2333333333;"Total Series";"2007-11-14"
7503;1606;571;24866,4666666667;"Total Series";"2007-11-15"
13564;1991;4660;38495,9;"Total Series";"2007-11-16"
14990;2588;2199;43501,5666666667;"Total Series";"2007-11-17"
7066;5201;2097;36397,6333333333;"Total Series";"2007-11-18"
10750;1089;253;28727,5666666667;"Total Series";"2007-11-19"
11026;1015;3954;34930,9333333333;"Total Series";"2007-11-20"
9455;1139;549;29197,2666666667;"Total Series";"2007-11-21"
9001;2867;297;32206,3;"Total Series";"2007-11-22"
13685;2168;6181;42043,6333333333;"Total Series";"2007-11-23"
13451;1573;4131;31650,9;"Total Series";"2007-11-24"
5678;3556;279;23259,9666666667;"Total Series";"2007-11-25"
8926;1088;288;26161,9333333333;"Total Series";"2007-11-26"
15111;1063;11020;46683,5333333333;"Total Series";"2007-11-27"
7810;1182;769;27415,6666666667;"Total Series";"2007-11-28"
8818;2031;283;28653,8333333333;"Total Series";"2007-11-29"
13601;0;7941;38862,1333333333;"Total Series";"2007-11-30"
17847;9356;353;52249,0333333333;"Total Series";"2007-12-01"
10636;2090;6915;49103,1333333333;"Total Series";"2007-12-02"
10428;1141;299;29367,6666666667;"Total Series";"2007-12-03"
8561;1012;5828;34460,6;"Total Series";"2007-12-04"
10919;3422;295;35885,3333333333;"Total Series";"2007-12-05"
11908;4751;318;41465,5666666667;"Total Series";"2007-12-06"
10263;459;3710;29483,6;"Total Series";"2007-12-07"
12283;1133;2354;36890,0666666667;"Total Series";"2007-12-08"
8728;4176;2428;37909,7333333333;"Total Series";"2007-12-09"
8281;1102;278;29312,5666666667;"Total Series";"2007-12-10"
12740;1050;3817;38418,4;"Total Series";"2007-12-11"
7759;1152;254;26467,7;"Total Series";"2007-12-12"
8911;1103;1448;30795,7666666667;"Total Series";"2007-12-13"
12941;980;3849;32913,4666666667;"Total Series";"2007-12-14"
14313;1706;3687;45614,6;"Total Series";"2007-12-15"
12929;3410;2281;46036,9666666667;"Total Series";"2007-12-16"
10567;1636;243;29951,1;"Total Series";"2007-12-17"
11093;1123;5810;43719,9;"Total Series";"2007-12-18"
11679;1233;2658;36600,8666666667;"Total Series";"2007-12-19"
13592;1859;276;32495,9666666667;"Total Series";"2007-12-20"
12251;1191;200;33042,9333333333;"Total Series";"2007-12-21"
12673;3819;4550;43521,0666666667;"Total Series";"2007-12-22"
11962;1971;3091;40150,8;"Total Series";"2007-12-23"
14350;2985;2316;37630,8;"Total Series";"2007-12-24"
9084;4588;3368;44916,1333333333;"Total Series";"2007-12-25"
9480;1109;2773;43004,6666666667;"Total Series";"2007-12-26"
7960;4122;1490;42203,3;"Total Series";"2007-12-27"
15823;1980;8554;51884,2;"Total Series";"2007-12-28"
14906;4836;2434;54982,6;"Total Series";"2007-12-29"
13485;3595;3597;42648,6;"Total Series";"2007-12-30"
14071;0;3457;36942,3666666667;"Total Series";"2007-12-31"
12355;2461;2739;45995,6333333333;"Total Series";"2008-01-01"
8987;0;3094;27401,7666666667;"Total Series";"2008-01-02"
6671;1130;846;25168,4666666667;"Total Series";"2008-01-03"
11752;1241;5326;38197,5333333333;"Total Series";"2008-01-04"
14591;2113;286;36387,4666666667;"Total Series";"2008-01-05"
7824;1966;2445;30419,7333333333;"Total Series";"2008-01-06"
10294;1288;282;28263,5666666667;"Total Series";"2008-01-07"
9793;2197;3511;34059,1666666667;"Total Series";"2008-01-08"
8963;1162;284;29807,3333333333;"Total Series";"2008-01-09"
9992;1307;285;31567,9333333333;"Total Series";"2008-01-10"
7997;1261;290;28430,3;"Total Series";"2008-01-11"
11116;5594;2621;47856,8;"Total Series";"2008-01-12"
9362;6505;340;48027,6;"Total Series";"2008-01-13"
9738;5918;339;33748,8666666667;"Total Series";"2008-01-14"
14512;782;6883;44781,8666666667;"Total Series";"2008-01-15"
9391;1162;3430;35597,5333333333;"Total Series";"2008-01-16"
8657;1007;350;26204,7;"Total Series";"2008-01-17"
14983;1034;846;36449,8;"Total Series";"2008-01-18"
8015;2521;6054;33005,1;"Total Series";"2008-01-19"
4940;1775;380;29006,1333333333;"Total Series";"2008-01-20"
10447;0;376;30983,3;"Total Series";"2008-01-21"
7552;4670;7640;38750,3;"Total Series";"2008-01-22"
13359;1116;387;31371,8;"Total Series";"2008-01-23"
5935;1107;320;27417,0333333333;"Total Series";"2008-01-24"
11409;0;2421;37330,9333333333;"Total Series";"2008-01-25"
15606;4925;311;47249,8;"Total Series";"2008-01-26"
7367;3725;3818;39696,1;"Total Series";"2008-01-27"
12792;1142;280;38469,9333333333;"Total Series";"2008-01-28"
11077;1487;6199;44600,4;"Total Series";"2008-01-29"
7261;0;261;27344,1;"Total Series";"2008-01-30"
9437;1165;267;32565,3666666667;"Total Series";"2008-01-31"
7241;336;280;25577,5333333333;"Total Series";"2008-02-01"
15188;6247;2764;48933,9;"Total Series";"2008-02-02"
8452;2319;4435;34742,8;"Total Series";"2008-02-03"
9531;1161;252;27135,6333333333;"Total Series";"2008-02-04"
13717;1098;7803;41207,6;"Total Series";"2008-02-05"
8428;2114;356;27825,6666666667;"Total Series";"2008-02-06"
8089;0;295;25305,1666666667;"Total Series";"2008-02-07"
9563;940;1921;32509,4;"Total Series";"2008-02-08"
10293;2050;2838;35037,9333333333;"Total Series";"2008-02-09"
10128;2562;2955;36411,9;"Total Series";"2008-02-10"
8930;1018;297;28200,2666666667;"Total Series";"2008-02-11"
12138;2009;1856;33129,9666666667;"Total Series";"2008-02-12"
7568;2530;3615;31674,9666666667;"Total Series";"2008-02-13"
9299;1300;291;26743,7;"Total Series";"2008-02-14"
13417;1109;1723;33420,1333333333;"Total Series";"2008-02-15"
11599;1076;2360;39115,8;"Total Series";"2008-02-16"
6049;3182;2257;32222,8;"Total Series";"2008-02-17"
10345;0;251;25240,0666666667;"Total Series";"2008-02-18"
11200;1881;4711;35448,6;"Total Series";"2008-02-19"
7704;3655;5516;37563,1666666667;"Total Series";"2008-02-20"
8523;0;307;27230,8333333333;"Total Series";"2008-02-21"
10101;1167;1985;28876,0666666667;"Total Series";"2008-02-22"
10040;1684;2250;30566,1666666667;"Total Series";"2008-02-23"
11447;754;332;21050,1333333333;"Total Series";"2008-02-24"
1856;0;321;8408,13333333333;"Total Series";"2008-02-25"
2013;0;295;8452;"Total Series";"2008-02-26"
2969;0;326;9445,33333333333;"Total Series";"2008-02-27"
2028;0;281;8486,4;"Total Series";"2008-02-28"
8062;0;3773;22222,4666666667;"Total Series";"2008-02-29"
2724;0;1287;19031,2666666667;"Total Series";"2008-03-01"
2565;0;5244;19370,4333333333;"Total Series";"2008-03-02"
1755;0;2207;17342,5;"Total Series";"2008-03-03"
9415;1249;2443;27816,5;"Total Series";"2008-03-04"
5529;1145;9797;33953,4666666667;"Total Series";"2008-03-05"
6965;1082;372;41720,1333333333;"Total Series";"2008-03-06"
9033;1235;3471;31049,2666666667;"Total Series";"2008-03-07"
8435;6286;346;37477,6666666667;"Total Series";"2008-03-08"
4155;2607;333;26007,6333333333;"Total Series";"2008-03-09"
8660;2009;368;26978,1;"Total Series";"2008-03-10"
12936;1271;3901;36667,3666666667;"Total Series";"2008-03-11"
11042;1120;2374;29570,5333333333;"Total Series";"2008-03-12"
5464;3263;3590;27925,2333333333;"Total Series";"2008-03-13"
14476;980;3881;36837;"Total Series";"2008-03-14"
5910;2550;502;26271,6666666667;"Total Series";"2008-03-15"
11286;2394;566;30032,6666666667;"Total Series";"2008-03-16"
9346;236;6651;28448,6333333333;"Total Series";"2008-03-17"
12544;1156;4019;31959,4333333333;"Total Series";"2008-03-18"
6154;2110;411;21807,4666666667;"Total Series";"2008-03-19"
6670;1107;478;20887,9;"Total Series";"2008-03-20"
13275;2171;4778;34440,7;"Total Series";"2008-03-21"
12405;3322;588;34225,2666666667;"Total Series";"2008-03-22"
13878;6279;2112;38766,5;"Total Series";"2008-03-23"
7008;1131;5988;32911,1333333333;"Total Series";"2008-03-24"
13494;2246;3677;33597,6;"Total Series";"2008-03-25"
7547;2547;3831;27224,5333333333;"Total Series";"2008-03-26"
9022;0;356;22847,0333333333;"Total Series";"2008-03-27"
11581;2325;3605;31423,7333333333;"Total Series";"2008-03-28"
17240;5153;375;41185,8333333333;"Total Series";"2008-03-29"
9769;5045;1315;35773,2;"Total Series";"2008-03-30"
9387;1091;411;22959,5;"Total Series";"2008-03-31"
14515;1079;6657;35484,2;"Total Series";"2008-04-01"
7989;1106;3674;28194,5333333333;"Total Series";"2008-04-02"
6901;0;422;18812,6;"Total Series";"2008-04-03"
13246;2133;775;27198,6333333333;"Total Series";"2008-04-04"
13644;2929;874;32846,0333333333;"Total Series";"2008-04-05"
7552;1124;2615;28271,9666666667;"Total Series";"2008-04-06"
9466;2420;672;25647,3;"Total Series";"2008-04-07"
