"Year";"Quarter";"Month";"Sum_GAP";"Sum_Others";"Sum_Kitchen";"Sum_Laundry";"Sum_Heater_AC";"ForecastAC";"ForecasK";"ForecasL";"ForecasALL";"MixAC";"MixK";"MixL";"MixT";"OnlyOrigAC";"OnlyOrigK";"OnlyOrigL";"OnlyOrigGAP";"MonthDate"
"2009";"Summer";"July";460083,033333333;211490,033333333;18226;42418;187949;NA;NA;NA;NA;187949;18226;42418;460083,033333333;187949;18226;42418;460083,033333333;"Jul 2009"
"2009";"Summer";"August";483439,3;219580,3;33480;38298;192081;NA;NA;NA;NA;192081;33480;38298;483439,3;192081;33480;38298;483439,3;"Aug 2009"
"2009";"Summer";"September";708722,2;315241,2;51653;45985;295843;NA;NA;NA;NA;295843;51653;45985;708722,2;295843;51653;45985;708722,2;"Sep 2009"
"2009";"Fall";"October";854779,3;417280,3;55220;53967;328312;NA;NA;NA;NA;328312;55220;53967;854779,3;328312;55220;53967;854779,3;"Oct 2009"
"2009";"Fall";"November";917721,766666667;468271,766666667;60445;53473;335532;NA;NA;NA;NA;335532;60445;53473;917721,766666667;335532;60445;53473;917721,766666667;"Nov 2009"
"2009";"Fall";"December";1013810,86666667;519623,866666667;57801;53490;382896;NA;NA;NA;NA;382896;57801;53490;1013810,86666667;382896;57801;53490;1013810,86666667;"Dec 2009"
"2010";"Winter";"January";990465,166666667;483039,166666667;53887;56568;396971;1143150,47898536;1056439,72276543;1143150,47898536;1073595,05050826;1143150,47898536;1056439,72276543;1143150,47898536;1073595,05050826;NA;NA;NA;NA;"Jan 2010"
"2010";"Winter";"February";925069,4;410519,4;49268;53566;411716;1052990,64348681;818087,180076696;1052990,64348681;828663,872144414;1052990,64348681;818087,180076696;1052990,64348681;828663,872144414;NA;NA;NA;NA;"Feb 2010"
"2010";"Winter";"March";801275,433333333;381240,433333333;35089;60795;324151;982131,586191575;915370,599502284;982131,586191575;920157,899041488;982131,586191575;915370,599502284;982131,586191575;920157,899041488;NA;NA;NA;NA;"Mar 2010"
"2010";"Spring";"April";740489,033333333;329657,033333333;38196;36468;336168;792820,225137279;804845,386930104;792820,225137279;809753,92393872;792820,225137279;804845,386930104;792820,225137279;809753,92393872;NA;NA;NA;NA;"Apr 2010"
"2010";"Spring";"May";813784,066666667;348966,066666667;48107;52455;364256;699758,870293219;751067,229446827;699758,870293219;758059,780209213;699758,870293219;751067,229446827;699758,870293219;758059,780209213;NA;NA;NA;NA;"May 2010"
"2010";"Spring";"June";696291,133333333;275985,133333333;65349;47699;307258;610732,206540681;663469,68084906;610732,206540681;671144,102577615;610732,206540681;663469,68084906;610732,206540681;671144,102577615;NA;NA;NA;NA;"Jun 2010"
"2010";"Summer";"July";539536,033333333;294235,033333333;18065;34322;192914;539630,545631382;496596,305411839;539630,545631382;549547,306284006;539630,545631382;496596,305411839;539630,545631382;549547,306284006;NA;NA;NA;NA;"Jul 2010"
"2010";"Summer";"August";367768,9;168075,9;12499;26986;160208;516587,095217304;455743,590700827;516587,095217304;289868,581335661;516587,095217304;455743,590700827;516587,095217304;289868,581335661;NA;NA;NA;NA;"Aug 2010"
"2010";"Summer";"September";605130,533333333;277808,533333333;36865;32548;257909;641927,370306253;702739,401206351;641927,370306253;711005,102320638;641927,370306253;702739,401206351;641927,370306253;711005,102320638;NA;NA;NA;NA;"Sep 2010"
"2010";"Fall";"October";864788,033333333;441316,033333333;48199;60220;315053;773571,661791695;834380,53442881;773571,661791695;849234,965083715;773571,661791695;834380,53442881;773571,661791695;849234,965083715;NA;NA;NA;NA;"Oct 2010"
"2010";"Fall";"November";745344,466666667;409032,466666667;46162;42282;247868;815812,189581229;932456,687980311;815812,189581229;973517,133384318;815812,189581229;932456,687980311;815812,189581229;973517,133384318;NA;NA;NA;NA;"Nov 2010"
